MOLENAME;TherapeuticIndication;TargetedRT;TargetedMZ;DrugPoolNumbers;EstimatedColonConcentrationMaier2018uM;SMILES;STATUS;TradeName;cas;iupacName;molArea;molCACO2;molFormula;molHALFLIFE;molHERG;molLD50;molLogP;molLogS;molPAINS;molPAMPA;molPGPINHIB;molPGPSUBST;molPSA;molVolume;molWeight;name;ref;salt_name;salt_smiles;smiles;source;Number_of_aliphatic_carboxylic_acids;Number_of_aliphatic_hydroxyl_groups;Number_of_aliphatic_hydroxyl_groups_excluding_tert_OH;Number_of_N_functional_groups_attached_to_aromatics;Number_of_Aromatic_carboxylic_acide;Number_of_aromatic_nitrogens;Number_of_aromatic_amines;Number_of_aromatic_hydroxyl_groups;Number_of_carboxylic_acids;Number_of_carboxylic_acids2;Number_of_carbonyl_O;Number_of_carbonyl_O__excluding_COOH;Number_of_thiocarbonyl;Number_of_C_OH_CCN_Ctert_alkyl_or_C_OH_CCNcyclic;Number_of_Imines;Number_of_Tertiary_amines;Number_of_Secondary_amines;Number_of_Primary_amines;Number_of_hydroxylamine_groups;Number_of_XCCNR_groups;Number_of_tert_alicyclic_amines;Number_of_H_pyrrole_nitrogens;Number_of_thiol_groups;Number_of_aldehydes;Number_of_alkyl_carbamates__subject_to_hydrolysis_;Number_of_alkyl_halides;Number_of_allylic_oxidation_sites_excluding_steroid_dienone;Number_of_amides;Number_of_amidine_groups;Number_of_anilines;Number_of_aryl_methyl_sites_for_hydroxylation;Number_of_azide_groups;Number_of_azo_groups;Number_of_barbiturate_groups;Number_of_benzene_rings;Number_of_benzodiazepines_with_no_additional_fused_rings;Bicyclic;Number_of_diazo_groups;Number_of_dihydropyridines;Number_of_epoxide_rings;Number_of_esters;Number_of_ether_oxygens__including_phenoxy_;Number_of_furan_rings;Number_of_guanidine_groups;Number_of_halogens;Number_of_hydrazine_groups;Number_of_hydrazone_groups;Number_of_imidazole_rings;Number_of_imide_groups;Number_of_isocyanates;Number_of_isothiocyanates;Number_of_ketones;Number_of_ketones_excluding_diaryl;Number_of_beta_lactams;Number_of_cyclic_esters__lactones_;Number_of_methoxy_groups__OCH3;Number_of_morpholine_rings;Number_of_nitriles;Number_of_nitro_groups;Number_of_nitro_benzene_ring_substituents;Number_of_non_ortho_nitro_benzene_ring_substituents;Number_of_nitroso_groups__excluding_NO2;Number_of_oxazole_rings;Number_of_oxime_groups;Number_of_para_hydroxylation_sites;Number_of_phenols;Number_of_phenolic_OH_excluding_ortho;Number_of_phosphoric_acid_groups;Number_of_phosphoric_ester_groups;Number_of_piperdine_rings;Number_of_piperzine_rings;Number_of_primary_amides;Number_of_primary_sulfonamides;Number_of_pyridine_rings;Number_of_quarternary_nitrogens;Number_of_thioether;Number_of_sulfonamides;Number_of_sulfone_groups;Number_of_terminal_acetylenes;Number_of_tetrazole_rings;Number_of_thiazole_rings;Number_of_thiocyanates;Number_of_thiophene_rings;Number_of_unbranched_alkanes_of_at_least_4_members;Number_of_urea_groups
ANASTROZOLE;antineoplastic;3.25;293.164045;3   6  16  21;NaN;CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1;USAN, INN, BAN;ARIMIDEX;120511-73-1;2-(3-(1-cyano-1-methyl-ethyl)-5-((1H-1,2,4-triazol-1-yl)-methyl)-phenyl)-2-methyl-propanenitrile;353.357339;-4.77;C17H19N5;6.61;0.21;0.29;1.698253;-4.297511;0.35;-5.22;0;0.03;59.327652;348.94442;293.164046;Anastrozole;"Breast Cancer Res Treat 30:103 (1994); J Steroid Biochem Mol Biol 53:175 (1995); Cancer 79:730 (1997)";;;CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N;"synthetic; ICI-D1033, ZD-1033";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANTAZOLINE PHOSPHATE;antihistaminic;2.49;265.157897;8  10  13  14;NaN;c1ccc(CN(CC2=[NH+]CCN2)c2ccccc2)cc1;USP;ANTISTINE PHOSPHATE;154-68-7, 91-75-8 [antazoline];2-((phenyl-(phenyl-methyl)-amino)-methyl)-4,5-dihydro-1H-imidazole;328.538361;-4.71;C17H20N3;1.61;0.46;291.19;2.317533;-4.540661;0.08;-4.77;0.01;0.03;25.378022;266.292182;266.165723;Antazoline;"Postgrad Med J 48:304 (1972); Arch Ophthalmol 108:520 (1990)";phosphate;[O-]P([O-])(O)=O;C1C[N+]=C(CN(Cc2ccccc2)c2ccccc2)N1;synthetic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APOMORPHINE;emetic, antiparkinsonian, erextile dysfunction therapy;1.63;267.125929;8   9  19  20;0;C[NH+]1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3;USP, BAN;APOKYN;41372-20-7, 314-19-2 [anhydrous], 58-00-4 [apomorphine];;296.518673;-4.91;C17H18NO2;6.23;0.88;100.13;2.046331;-3.024401;0.74;-5.1;0.03;0.08;34.817559;272.590879;268.133754;Apomorphine;"Biomed Pharmacother 49:197 (1995); J Impotence Res 14 Suppl 1:S53 (2002)";chloride;[Cl-];C[N+]1CCc2cccc3c4c(C[C@@H]1c23)ccc(c4O)O;synthetic;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ARTEMISININ;antimalarial;4.28;282.146725;2   4  15  18;NaN;CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4;INN;;63968-64-9;;304.470671;-4.76;C15H22O5;1.18;0.11;436.42;2.604436;-2.244603;0.1;-4.58;0.07;0.04;46.703143;298.724622;282.146724;CHEMBL269671;"Science 228:1049 (1985); Drugs 52:818 (1996); Trends Pharmacol Sci 20:199 (1999)";;;C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](C)(O3)OO4;Artemisia annua;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ATENOLOL;beta adrenergic blocker;1.15;266.163043;8   9  18  21;312.8797108;CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1;USP, INN, BAN, JAN;TENORMIN;29122-68-7;2-(4-(2-hydroxy-3-(1-methyl-ethylamino)-propoxy)-phenyl)-ethanamide;320.796455;-5.62;C14H23N2O3;2.06;0.26;84.72;-0.873648;-2.352704;0.05;-5.12;0.04;0.06;68.547356;273.687852;267.170868;Atenolol;"Drugs Exper Clin Res 6:639 (1980); Drugs 25 Suppl 2:1 (9183)";;;CC(C)[N+]CC(COc1ccc(CC(N)=O)cc1)O;synthetic;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
ATORVASTATIN CALCIUM;antihyperlipidemic, HMGCoA reductase inhibitor;NaN;558.253001;14  16  17  21;NaN;CC(C)c1c(C(=O)c2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)[O-];USAN, INN, BAN;LIPITOR;134523-03-8, 134523-00-5 [atorvastatin];7-(2-(4-fluoro-phenyl)-5-isopropyl-3-phenyl-4-(phenyl-formyl)-1H-pyrrol-1-yl)-1,3,5-trihydroxy-1-oxo-heptane;591.674144;-5.33;C33H33FNO5;2.32;0.18;77.96;6.018258;-5.78675;0.38;-4.84;0.06;0.24;74.791422;530.5861;542.234276;CHEMBL3039114;"Ann Pharmacother 32:1030 (1998); Drugs 65:137 (2005)";Calcium;[Ca++];CC(C)c1c(C(c2ccccc2)=O)c(c2ccccc2)c(c2ccc(cc2)F)n1CC[C@H](C[C@H](CC([O-])=O)O)O;synthetic;1;2;2;0;0;1;0;0;1;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AZATADINE MALEATE;H1-antihistamine;4.78;290.178298;3   6  13  20;NaN;CN1CCC(=C2c3ccccc3CCc3ccc[nH+]c32)CC1;USP, INN, BAN;OPTIMINE;3978-86-7;;341.529103;-4.8;C20H23N2;3.57;0.69;211.23;4.212948;-3.251755;0.07;-4.77;0;0.03;13.524654;334.591494;291.186124;Azatadine;"Agents Actions 4:264 (1974); Jitchuken Zenrincho Kenkyuho 1:173 (1975); NZ Med J 94:79 (1981)";maleate;C(=CC(O)=O)C(O)=O;CN1CCC(CC1)=C1c2ccccc2CCc2ccc[n+]c12;"synthetic; SCH-10649";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BAMBUTEROL;beta adrenergic agonist, bronchodilator, cholinesterase inhibitor;2.38;367.210722;1   2  14  21;NaN;CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)C[NH2+]C(C)(C)C)c1;INN, BAN;BAMBEC;81732-46-9;dimethylamino-(3-(dimethylamino-formyloxy)-5-(2-(1,1-dimethyl-ethylamino)-1-hydroxy-ethyl)-phenoxy)-methanone;447.681223;-5.05;C18H30N3O5;2.65;0.15;90.18;0.141639;-3.435992;0.09;-5.2;0.11;0.03;70.939959;403.908103;368.218546;Bambuterol;"Acta Anaeth Scand 34:595 (1990); Chest c103:771 (1993)";chloride;[Cl-];CC(C)(C)[N+]CC(c1cc(cc(c1)OC(N(C)C)=O)OC(N(C)C)=O)O;synthetic;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BENAZEPRIL;ACE inhibitor, antihypertensive;3.51;424.199823;2   4  12  16;NaN;CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)[O-])C1=O;USAN, INN, BAN, JAN;LOTENSIN;86541-74-4;;462.61444;-5.34;C24H27N2O5;1.75;0.29;190.17;2.90911;-4.269725;0.08;-5.04;0.02;0.01;76.191527;434.403489;423.191997;Benazepril;"Biopharm Drug Dispos 10:365 (1989); 49:322 (1991); Am J Cardiol 70:354 (1992)";chloride;[Cl-];CCOC([C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC([O-])=O)C1=O)=O;synthetic;1;0;0;0;0;0;0;0;1;1;3;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BENZBROMARONE;uricosuric;5.29;421.915317;2   4  11  13;392.9970535;CCc1oc2ccccc2c1C(=O)c1cc(Br)c([O-])c(Br)c1;USAN, INN, BAN;DESURIC;117976-90-6;(3,5-dibromo-4-hydroxy-phenyl)-(8-ethyl-7-oxa-bicyclo[4.3.0]nona-1,3,5,8-tetraen-9-yl)-methanone;335.461369;-4.95;C17H11Br2O3;27.89;0.23;371.79;5.689286;-6.977468;0.17;-4.54;0;0;36.880904;305.344527;420.907495;Benzbromarone;"J Rheumatol 2:437 (1975); 3:305 (1976); Eur J Clin Pharmacol 19:431 (1981)";;;CCc1c(C(c2cc(c(c(c2)[Br])[O-])[Br])=O)c2ccccc2o1;"synthetic; MJ-10061, L-2214";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BENZTHIAZIDE;diuretic, antihypertensive;3.32;430.983501;6   9  14  20;NaN;NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)[N-]S2(=O)=O;USP-XIII, INN, BAN, JAN;AQUATAG;91-33-8;;382.404814;-5.82;C15H13ClN3O4S3;5.27;0.18;686.13;2.332716;-5.653603;0.25;-5.85;0;0.01;101.227339;344.249226;429.975671;Benzthiazide;"Br Med J 1:1773 (1960); J Pharmacol Exp Ther 128:122 (1960); 131:271 (1961)";;;C(C1[N-]S(c2cc(c(cc2N=1)[Cl])S(N)(=O)=O)(=O)=O)SCc1ccccc1;synthetic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
